date,ladder_games,teams_active,median_winner_bank,p90_winner_bank,record_bank,replay_coverage
2026-07-30,426,54,36891.5,87412.0,157449,1.0
2026-07-31,414,197,44705.0,97033.0,149627,1.0
2026-08-01,130,109,48694.0,128739.7,180499,1.0
2026-08-02,92,88,58918.5,160030.4,178681,1.0
2026-08-03,83,86,62295.0,168759.0,181667,1.0
2026-08-04,116,116,48325.5,94941.0,180508,1.0
2026-08-05,98,102,47842.0,106626.0,181359,1.0
2026-08-06,98,101,46687.5,107021.7,180482,1.0
2026-08-07,76,80,46726.0,135668.5,193771,1.0
2026-08-08,63,68,25413.0,64263.8,153936,1.0
2026-08-09,51,55,39091.0,110319.0,165820,1.0
2026-08-10,58,63,40344.5,70158.6,104384,1.0
2026-08-11,36,41,34554.5,68768.5,159719,1.0
2026-08-12,25,29,28292.0,57263.2,150779,1.0
2026-08-13,15,19,16234.0,36761.8,79123,1.0
2026-08-14,11,14,3787.0,23887.0,33148,1.0
2026-08-15,12,14,4016.5,4543.4,11151,1.0
2026-08-16,10,12,3890.0,16811.3,27020,1.0
2026-08-17,6,8,4065.5,9021.5,13436,1.0
2026-08-18,5,7,5957.0,9988.4,12498,1.0
2026-08-19,8,10,3729.5,4144.0,4298,1.0
2026-08-20,8,10,3406.0,4609.5,5957,1.0
2026-08-21,5,7,4203.0,10610.6,13713,1.0
2026-08-22,10,12,3393.0,4096.9,5581,1.0
2026-08-23,8,10,3413.0,21187.8,29228,1.0
2026-08-24,7,9,3278.0,5688.0,8559,1.0
2026-08-25,6,8,3819.0,9960.0,14152,1.0
2026-08-26,7,9,3644.0,45655.2,105303,1.0
2026-08-27,6,8,3374.5,4016.5,4143,1.0
2026-08-28,6,8,3458.5,5957.0,5957,1.0
2026-08-29,5,7,5682.0,7229.6,8078,1.0
2026-08-30,5,7,3644.0,3867.6,3956,1.0
2026-08-31,5,7,3890.0,14472.2,21527,1.0
2026-09-01,6,8,6406.5,19630.5,29004,1.0
2026-09-02,8,10,5957.0,10793.1,17126,1.0
2026-09-03,7,9,3969.0,19368.8,36320,1.0
2026-09-04,7,9,4986.0,9199.4,12557,1.0
2026-09-05,7,9,3990.0,5676.4,5896,1.0
2026-09-06,8,10,3645.5,4255.5,4518,1.0
2026-09-07,6,8,2650.0,6026.0,8408,1.0
2026-09-08,6,8,5101.0,9293.0,11657,1.0
2026-09-09,5,7,3943.0,7796.0,9022,1.0
2026-09-10,9,11,3644.0,8754.8,9870,1.0
2026-09-11,7,9,3644.0,10919.2,12214,1.0
2026-09-12,6,8,4101.5,8910.0,11612,1.0
2026-09-13,4,6,3676.5,4110.1,4282,1.0
